case,width,depth,directions,diagonal,requested,allocated,status,http_seconds,planning_ms,response_bytes,stairs,min_platform,max_platform,diagonal_plots,edits,candidates,expanded,grade_work,exhausted
default128,128,128,8,False,7,7,COMPLETE,1.416,920.46,780591,209,66,82,0,11341,24000,30888,81527,CANDIDATE_CHECKS
repeat128,128,128,8,False,7,7,COMPLETE,1.743,1165.079,780592,209,66,82,0,11341,24000,30888,81527,CANDIDATE_CHECKS
roll128,128,128,8,False,7,7,COMPLETE,2.008,1563.966,804901,313,70,82,0,12218,24000,53424,67325,CANDIDATE_CHECKS
size256,256,256,8,False,7,7,COMPLETE,2.236,1257.57,2749293,367,67,82,0,12833,24000,31010,108718,CANDIDATE_CHECKS
size512,512,512,8,False,7,7,COMPLETE,3.776,1698.258,10308489,272,69,82,0,12657,24000,46133,367941,CANDIDATE_CHECKS
custom192x96,192,96,12,True,7,7,COMPLETE,2.775,2268.858,865959,183,67,82,6,11125,24000,78453,55749,ROUTE_OR_SLOT_EXPANSIONS|CANDIDATE_CHECKS
budget_rejection,64,64,8,False,1,0,INFEASIBLE,1.029,676.454,142714,0,0,0,0,0,12288,14611,0,GROUND_COLUMNS
